商品名稱,品牌,原價,目前售價,滿額贈,評價,評價人數,介紹,圖片網址
SD-860高速智能溫控專業負離子吹風機,sOlac,"$5,280","$3,199",N,-,-,"2億級高濃度負離子
磁吸吹嘴一秒吸附不脫落
輕巧主機 62dB低噪音",https://img.pchome.com.tw/cs/items/DMAH47A900H319O/000001_1705370376.jpg
蘊活淨瑕頭皮調理液 100ml (鎮靜紓緩頭皮並祛除頭氣),AVEDA,-,"$1,900",Y,5.0,8,"48小時清爽控油，呵護髮肌
免沖洗直接噴於頭皮並搭配按摩
可於日間隨時使用",https://img.pchome.com.tw/cs/items/DDBH8BA900GK0TK/000001_1745564358.jpg
蘊活煥欣洗髮精 1000ml,AVEDA,-,"$5,400",Y,4.5,2,"去除頭皮老廢角質與殘留物堆積
天然起泡成分，溫和清潔
細軟髮或落髮問題特別推薦",https://img.pchome.com.tw/cs/items/DDDU04A900HHN7T/000001_1745562616.jpg
Acerpure beauty AI 負離子造型吹風機 DS744-10W,acerpure 宏碁,"$5,990","$4,990",N,5.0,1,"2,2億高濃度負離子
7款造型配件，滿足多樣化需求
BLDC 高速直流無刷馬達",https://img.pchome.com.tw/cs/items/DMAH7MA900HPUSH/000001_1743497109.jpg
蘊活純香養護組,AVEDA,"$2,550","$2,550",Y,-,-,"蘊活系列呵護髮肌，秀髮豐盈新生
純香清新經典花香
細軟髮或落髮問題特別推薦",https://img.pchome.com.tw/cs/items/DDBXFA1900IFCES/000001_1745564192.jpg
負離子高速吹風機,Xiaomi 小米,"$1,295","$1,295",N,4.9,80,"高濃度負離子 | 中和靜電，減少毛躁
400g輕巧機身 | 長時間使用也不疲累
8種出風模式 | 靈活組合，讓您隨心所欲吹整頭髮",https://img.pchome.com.tw/cs/items/DMAHBYA900I0K1F/000001_1730774578.jpg
全球電壓無刷吹風機 KH-9660,KINYO,"$4,480","$2,780",N,5.0,4,"100-240V全球電壓自動切換，隨插即吹，使用地區不受限
90度折疊機身設計，節省空間，整齊俐落好收納
11萬轉BLDC無刷馬達，低噪穩定馬力強",https://cs-a.ecimg.tw/items/DMAHCWA900IGQBP/yt000001_1745804367.jpg
高速馬達吹風機 EH-NE6M-C 焦糖奶茶色,Panasonic 國際牌,"$2,990","$2,799",Y,4.9,53,"直線風梳技術 水平出風口吹出直線風流,使頭髮 不易打結,更滑順。
BLDC高速馬達 提供強大風流,快速吹乾頭髮。
搭載負離子 有效消除靜電,使頭髮柔軟、散發 光澤,可以使頭髮更容易梳理。",https://img.pchome.com.tw/cs/items/DMAH4CA900I7YVV/000001_1736133685.jpg
奈米水離子吹風機(EH-NA27-W),Panasonic 國際牌,"$2,190","$1,688",Y,4.9,301,"奈米水離子潤澤滲透護髮科技
加頭髮的保濕度
頭皮到髮尾完整保養",https://img.pchome.com.tw/cs/items/DMAH02A900AN6LF/000001_1675305249.png
高速馬達吹風機 EH-NE6M-A 寶寶粉藍色,Panasonic 國際牌,"$2,990","$2,799",Y,5.0,27,"直線風梳技術 水平出風口吹出直線風流,使頭髮 不易打結,更滑順。
BLDC高速馬達 提供強大風流,快速吹乾頭髮。
搭載負離子 有效消除靜電,使頭髮柔軟、散發 光澤,可以使頭髮更容易梳理。",https://img.pchome.com.tw/cs/items/DMAH4CA900I7YVH/000001_1743993738.jpg
專業負離子吹風機 TD760TW 雲朵白,TESCOM,"$2,900","$1,690",N,4.9,87,"日本「減法美學」羽量級BLDC 吹風機
高濃度負離子釋放 締造水潤光澤秀髮
BLDC無刷馬達設計,智能風溫交替設計",https://img.pchome.com.tw/cs/items/DMAH7CA900HQBQH/000001_1743578837.jpg
奈米水離子吹風機(EH-NA55-PN),Panasonic 國際牌,"$3,990","$2,480",Y,5.0,72,"國際電壓，海外國內兩用
小巧機身，折疊好攜帶
奈米負離子1000倍保濕力",https://img.pchome.com.tw/cs/items/DMAH02A900ARLYE/000001_1694405857.jpg
奈米水離子吹風機 EH-NA9N-H,Panasonic 國際牌,"$6,290","$5,288",Y,5.0,67,"多重護髮潤肌模式
搭載奈米水離子 & 礦物負離子
搭載雙重智能溫度感測器,舒適吹髮,減少熱傷害",https://img.pchome.com.tw/cs/items/DMAH4CA900HTGKT/000001_1742195620.jpg
高滲透奈米水離子吹風機EH-NA0J,Panasonic 國際牌,-,"$7,990",Y,4.9,148,"獨家高滲透奈米水離子保濕科技，水分提升1.9倍。
礦物負離子強韌秀髮
智慧溫控，搭載智能溫度感測器",https://cs-a.ecimg.tw/items/DMAH02A900FUEMV/yt000001_1731343330.jpg
大風量負離子吹風機TID292,TESCOM,$790,$459,N,4.9,185,"速乾！大風量1.4Ｍ³/分
使用負離子, 成為水潤的髮尾
從乾燥修護頭髮 保濕風罩",https://img.pchome.com.tw/cs/items/DMAH7SA90092JRB/000001_1731397924.jpg
高滲透奈米水離子吹風機 EH-NA0J-A(霧墨藍),Panasonic 國際牌,"$13,900","$7,990",Y,5.0,40,"高滲透奈米水離子
礦物負離子
2個智能溫度感應器",https://img.pchome.com.tw/cs/items/DMAH02A900GN0FB/000001_1741320196.jpg
輕巧大風量吹風機TD550ATW,TESCOM,"$1,990",$999,N,4.9,20,"黃金三角式​負離子釋放技術，讓秀髮水潤柔亮
三段風溫Ｘ三段風量共9種模式
粉紅控最愛，大風量1.9㎥/分",https://img.pchome.com.tw/cs/items/DMAH7SA900GDOA8/000001_1742347124.jpg
負離子吹風機 H300,Xiaomi 小米,$795,$595,N,5.0,217,"9.5 公分超短外殼
20 公尺 / 秒 超大氣流
5,000 萬個負離子",https://img.pchome.com.tw/cs/items/DYAN6UA900GGFEZ/000001_1730453315.jpg
大風量負離子吹風機TID450(玫瑰桃),TESCOM,"$1,190",$649,N,4.9,170,"優雅輕量475g  雙倍負離子
大風量速乾  三檔風速
可折疊手把 防過熱裝置",https://img.pchome.com.tw/cs/items/DMAH4EA9007XOV1/000001_1731398337.jpg
奈米水離子吹風機EH-NA32-T-雲灰紫,Panasonic 國際牌,-,"$2,170",Y,5.0,58,"附速乾吹嘴、造型吹嘴
靜電抑制機能
可折疊機身，方便收納",https://img.pchome.com.tw/cs/items/DMAH02A900GAYQW/000001_1683539136.jpg
奈米水離子吹風機,Panasonic 國際牌,"$2,190","$1,688",Y,4.9,215,"奈米水離子潤澤滲透護髮科技
1400W大風量設計
三段溫度/二段風量設計",https://img.pchome.com.tw/cs/items/DMAH02A900AN6LL/000001_1742177401.jpg
奈米水離子吹風機 EH-NA9N-H,Panasonic 國際牌,"$6,290","$5,290",Y,4.9,28,"多重護髮潤肌模式
搭載奈米水離子 & 礦物負離子
搭載雙重智能溫度感測器,舒適吹髮,減少熱傷害",https://img.pchome.com.tw/cs/items/DMAH4CA900I98XQ/000001_1741570565.jpg
負離子溫控吹風機 EH-NE6M,Panasonic 國際牌,"$2,990","$2,799",N,5.0,3,"BLDC高速馬達/強大風流/快速吹乾頭髮
4段風溫模式/2段風速/自由選擇
搭載負離子/有效消除靜電/使頭髮柔軟",https://img.pchome.com.tw/cs/items/DMAH7MA900I8F9D/000001_1736130949.jpg
防靜電大風量吹風機TID2200TW(珍珠白),TESCOM,"$2,490","$1,049",N,4.9,117,"速乾大風量２.０M³/分
高效率 １５００Ｗ
抑制靜電 修護離子",https://img.pchome.com.tw/cs/items/DMAH7SA900GG1U7/000001_1701417349.jpg
水離子吹風機 H500,Xiaomi 小米,"$1,395","$1,095",N,5.0,235,"雙重水離子護髮
20m/s*超高風速
金屬機身",https://img.pchome.com.tw/cs/items/DYANA0A900GGFEJ/000001_1732259908.jpg
遠紅外線負離子吹風機 TID456TW,TESCOM,$990,$499,N,4.9,82,"速乾! 沙龍級風量1.6Ｍ³/分
遠紅外線快速導熱不傷髮
雙重負離子釋放滋潤養髮",https://img.pchome.com.tw/cs/items/DMAH7SA900H6W65/000001_1741137797.jpg
專業型大風量負離子吹風機TID960TW,TESCOM,$990,$869,N,4.9,39,"4個負離子釋放點
9種風量模式，冷風定型
雙氣流吹嘴，速乾與吹整模式兩種選擇",https://img.pchome.com.tw/cs/items/DMAH7SA900GG1W8/000001_1687941457.jpg
1400W負離子吹風機 EH-NE21 大風力 公司貨,Panasonic 國際牌,$980,$899,N,4.8,22,"保濕負離子-吹頭髮同時為秀髮保濕
1400W.大風量-快速吹乾好省時
兩段風速",https://img.pchome.com.tw/cs/items/DMAH6YA900HCNN5/000001_1711708409.jpg
雙負離子吹風機EH-NE74-N,Panasonic 國際牌,"$1,890","$1,590",Y,5.0,61,"外置雙負離子設計
風量選擇：三段式
溫度：冷/暖/熱風三種",https://img.pchome.com.tw/cs/items/DMAH02A900AN6R8/000001_1683616070.jpg
國際電壓 陶瓷折疊式吹風機 雙壓 1400W 旅行首選 黑色 FD-170,達新牌,$690,$550,N,5.0,10,"陶瓷遠紅外線
可折疊好收納
雙電壓設計110V/220V",https://img.pchome.com.tw/cs/items/DMAH0OA900FEXWL/000001_1661132380.jpg
雙負離子吹風機 EH-NE43-T(雲灰紫),Panasonic 國際牌,"$1,200",$799,Y,4.6,59,"1200W大馬力
3段式風溫與風量調整
外置雙負離子吹口設計",https://img.pchome.com.tw/cs/items/DMAH02A900GT9TF/000001_1699422739.jpg
Glory三億鉑金負離子高速吹風機,Dreame 追覓科技,"$6,980","$3,680",N,4.8,94,"3億鉑金負離子，護髮撫平毛躁
57度恆溫呵護，冷熱循環減少秀髮損傷
輕巧機身，四重聲學降噪設計",https://cs-a.ecimg.tw/items/DMBL3EA900GYM4G/yt000001_1718684356.jpg
日本沙龍級專業品牌 日本專業沙龍修護離子吹風機 NIB3000TW(晨霧白),Nobby by TESCOM,"$5,990","$3,591",N,4.6,8,"三段溫度&三段風速調節
修護離子有效抑制靜電
附專用立架，吹整長髮輕鬆不費力",https://img.pchome.com.tw/cs/items/DMAH7SA9009PI7V/000001_1643196144.jpg
沙龍級護髮負離子吹風機-霧藍黑(BHD518/01),PHILIPS 飛利浦,-,"$1,488",N,4.7,55,"*1500W 強力瓦數，大出風
*高效負離子護髮
*可摺疊收納",https://img.pchome.com.tw/cs/items/DMAC01A900C8WD6/000001_1735294575.jpg
奈米水離子三段溫控折疊式吹風機 EH-NA27,Panasonic 國際牌,"$2,590","$1,670",N,4.3,3,"小型輕量化設計
Nanoe奈米水離子 潤澤滲透護髮科技
三段溫度/二段風量設計",https://img.pchome.com.tw/cs/items/QBAP0AA9006MR6P/000001_1708997473.jpg
SD 1000 專業負離子吹風機 無刷馬達 T型吹風機 網美力薦吹風機 網路熱銷爆款吹風機 輕量吹風機,sOlac,"$5,280","$3,980",N,4.9,40,"智慧恆溫設計
動力氣體流道設計
4種溫度12種模式",https://img.pchome.com.tw/cs/items/DMAHBKA900F5VGG/000001_1742355466.jpg
TID960TW 負離子吹風機,TESCOM,$990,$869,N,5.0,4,"超保濕負離子保濕秀髮
可折疊易收納攜帶方便
雙氣流吹嘴 速乾與吹整模式兩種選擇",https://img.pchome.com.tw/cs/items/DMBM0OA900FML9R/000001_1745199166.jpg
高速吹風機,SIMPLITE 簡輕家居,"$5,880","$2,680",N,5.0,5,"2檔風速、3檔風溫隨意切換，3色LED溫度顯示(冷/暖/熱)，冷熱、強勁/柔和交替智慧模式
每秒100次智慧溫控，拒絕高溫烘烤，保護秀髮不損傷!
磁吸式吹嘴設計更換便利",https://img.pchome.com.tw/cs/items/DMAH15A900HZAR0/000001_1729137653.jpg
負離子速乾型冷熱吹風機 EH-NE11,Panasonic 國際牌,$999,$788,N,5.0,13,"速乾護髮吹嘴，瞬間乾燥不傷秀髮
外置負離子設計，在頭髮表面形成保護層，有效鎖住秀髮水份
可折疊式設計",https://img.pchome.com.tw/cs/items/DMAH02A69900062/000001_1742285800.jpg
【美多莉】高風速溫控負離子吹風機加輕巧收納袋-紫金色,MIDORI,"$14,600","$1,890",N,5.0,4,"6段溫控×5段風速，變化30種整髮造型
110000rpm，Hypersonic數位馬達氣流倍增科技
NTC智慧溫控，每秒100次偵測並控制溫度",https://img.pchome.com.tw/cs/items/DMAHCQA900H8TIW/000001_1734058453.jpg
【美多莉】Hypersonic 國際全電壓 高速負離子吹風機-櫻花粉(輕巧收納組),MIDORI,"$14,600","$2,199",N,5.0,2,"全球電壓100V-240V自動調適
首創6段溫控×5段風速
2億高科技負離子技術",https://cs-a.ecimg.tw/items/DMAHCQA900HMMTV/yt000001_1734058203.jpg
【美多莉】高風速溫控負離子吹風機 加輕巧收納袋-藍金色,MIDORI,"$14,600","$1,890",N,5.0,12,"6段溫控×5段風速，變化30種整髮造型
110000rpm，Hypersonic數位馬達氣流倍增科技
NTC智慧溫控，每秒100次偵測並控制溫度",https://img.pchome.com.tw/cs/items/DMAHCQA900H8UN6/000001_1734058424.jpg
智能護髮礦物負離子吹風機-玫瑰粉霧( BHD538/01 ),PHILIPS 飛利浦,"$3,990","$2,688",N,5.0,3,"4,000萬保濕鎖水負離子
ThermoShield防熱吹護技術
防曬礦物鋅離子",https://img.pchome.com.tw/cs/items/DMAC01A900EZHN2/000001_1735294722.jpg
速乾型冷熱吹風機 EH-ND21,Panasonic 國際牌,$888,$599,N,4.8,18,"速乾護髮吹嘴，瞬間乾燥不傷秀髮
強/弱兩種風壓，完美吹乾頭髮
風量均勻分佈到秀髮上，實現快速乾髮效率",https://img.pchome.com.tw/cs/items/DMAH02A69891737/000001_1742285957.jpg
白金奈米膠原蛋白吹風機 TCD5000TW,TESCOM,"$5,990","$3,990",N,4.8,47,"全新CPN技術 膠原蛋白、白金、奈米離子
特殊肌膚護理模式
美髮膠原蛋白維持秀髮水潤彈力",https://img.pchome.com.tw/cs/items/DMAH4EA9007GS5Z/000001_1743993795.jpg
